latitude,longitude,altitude
37.2889928,127.1075248,114.154
37.288993,127.1075236,114.153
37.2889933,127.1075224,114.155
37.2889936,127.1075214,114.157
37.2889939,127.1075203,114.159
37.2889943,127.1075191,114.152
37.2889947,127.1075178,114.147
37.288995,127.1075168,114.145
37.2889954,127.1075157,114.145
37.2889958,127.1075147,114.154
37.2889961,127.1075136,114.146
37.2889964,127.1075124,114.134
37.2889966,127.1075112,114.135
37.2889968,127.1075101,114.138
37.2889971,127.107509,114.15
37.2889974,127.1075078,114.154
37.2889978,127.1075067,114.152
37.2889982,127.1075056,114.149
37.2889985,127.1075044,114.137
37.2889989,127.1075034,114.137
37.2889993,127.1075025,114.137
37.2889996,127.1075015,114.139
37.2889999,127.1075006,114.142
37.2890003,127.1074995,114.132
37.2890006,127.1074982,114.125
37.2890009,127.107497,114.117
37.2890011,127.1074958,114.131
37.2890015,127.1074947,114.125
37.289002,127.1074936,114.122
37.2890023,127.1074923,114.112
37.2890027,127.1074911,114.115
37.289003,127.1074899,114.104
37.2890036,127.1074878,114.114
37.2890038,127.1074868,114.117
37.2890041,127.1074856,114.123
37.2890044,127.1074845,114.114
37.2890047,127.1074831,114.124
37.289005,127.107482,114.14
37.2890054,127.107481,114.142
37.2890057,127.1074799,114.151
37.2890061,127.1074789,114.146
37.2890064,127.1074778,114.134
37.2890068,127.1074769,114.127
37.2890073,127.107476,114.128
37.2890076,127.107475,114.132
37.2890078,127.1074741,114.136
37.289008,127.1074729,114.132
37.2890083,127.1074717,114.131
37.2890085,127.1074706,114.131
37.2890088,127.1074696,114.138
37.2890093,127.1074684,114.143
37.28901,127.1074661,114.12
37.2890104,127.1074651,114.114
37.2890108,127.1074641,114.113
37.289011,127.1074632,114.111
37.2890113,127.1074621,114.115
37.2890116,127.107461,114.124
37.2890119,127.1074599,114.12
37.2890122,127.1074588,114.109
37.2890124,127.1074575,114.113
37.289013,127.1074552,114.115
37.2890133,127.1074541,114.117
37.2890137,127.1074531,114.111
37.289014,127.1074519,114.107
37.2890143,127.1074509,114.099
37.2890146,127.1074499,114.122
37.2890149,127.1074488,114.115
37.2890152,127.1074478,114.116
37.2890154,127.1074466,114.125
37.289016,127.1074442,114.126
37.2890162,127.1074431,114.128
37.2890165,127.1074419,114.126
37.2890168,127.1074408,114.125
37.2890171,127.1074396,114.118
37.2890174,127.1074385,114.106
37.2890176,127.1074374,114.103
37.2890179,127.1074364,114.1
37.2890182,127.1074354,114.116
37.2890184,127.1074346,114.113
37.2890186,127.1074335,114.111
37.2890189,127.1074324,114.107
37.2890192,127.1074312,114.099
37.2890196,127.1074301,114.095
37.28902,127.1074289,114.102
37.2890204,127.1074277,114.101
37.2890207,127.1074264,114.09
37.289021,127.1074251,114.084
37.2890214,127.1074239,114.089
37.2890221,127.1074216,114.104
37.2890225,127.1074207,114.112
37.2890227,127.1074195,114.094
37.2890229,127.1074181,114.096
37.2890232,127.1074169,114.094
37.2890234,127.1074157,114.112
37.2890237,127.1074145,114.107
37.2890241,127.1074133,114.106
37.2890244,127.107412,114.092
37.289025,127.1074098,114.089
37.2890254,127.1074088,114.094
37.2890259,127.1074064,114.097
37.2890262,127.1074051,114.095
37.2890264,127.1074038,114.086
37.2890267,127.1074025,114.085
37.289027,127.1074013,114.095
